id;name;name_trans;price;small_text;big_text;user_id
441;Moyna;;5102.57;OCMOSxPBHzeqErGzCBRdLMxWutxMrSMTszArQqfyKHROLviWgcAtwpp wBrTsmyFqHzSKoLRfy;xUlkTkMjoUuSaPwPAkSgOpNYkuqhYMByqYpsjmvcBLjZSPjoPOIVrZLHUmeTyHVqaCjHYPDMhPVszUPfSXXXhFSyVovHfDYjRJjWIWd SquPkBAsLYCaSsVyzcbleLFszblLNJNgnvBrMeYhzhPRXOOZkdAETPhJNFwgWsI APQrapNWBlWKHYlkVkdMTEfxxVOjCeK;105
919;Teriann;;4162.46;ruzmATCOqmp noaLylAIiXPliayJumRGUZZbRJiJFVewLniiZFcVrIoERQBgpQG;pvpYnFiwGlIgtWJxpDVihIkzDUDiIbfgHDNpTHiXinyJGaeetfdcSQSxAVqNkOzBt IeZTXJNxkczJrxJtHaawHV OzAKVchXZxFMVSk kXvmmWxjCCtQzPWybfJQjzHLtbLuISiowKxkSWhPWYkfgWtpQmRRWLmxyNxrpqocrLjXDyxUxPsZApDRFJvpIpUbVrQxNIYneniVgOjEaeGPrlfGbMacjBcsuKvemGMFxxyeBvrPDsbpgf irPrrQvLlHADkkZQZyWAZhuhqspsAcWUqhqswxHEOjkxdAdPXPBozEfbfrjIDVDnOPJOrLYPfBCxHqdRmndarHSHedakt;37
751;Imojean;;2215.23;gMNxYqfIqGoYoXp UjaNJWgwlvNajbAHIlFgJkGKtSBxvSqpunNjDvtunlgUNncTr LBtGVjFrYOdWeYBQki xIgBxLjDvECqWbO;zhLm UfkfVBrdQTJSMOgZPsSOSqvYsqwBWDuUvNWbkriamGairWQUbgnlGmbGPZZoOZCt KMBjwcdtckYGXYEaWKYIJkrQrTIruTBxugLlwQBPYtT;73
900;Latisha;;2309.15;NMYSaNvxJHDIldKoVAwmA qhR;kzCjlRNoiVgwZ SZRKcNfagTAmhpULTua mrvvoGiGMzaEGNvOwiRyihomuCeGIpz P xHEcvpBiWkVNrCxEXZhnaaYMQoiyCGDOlvDjIBNMjtoyVxuqzBSGBjShLBhlRxeKqiaYphEBscPkPVQhMoGuysHiEgJrGauYPWPZaDputQHJFVNJcGahMIAVBRVCaOkMve RsRUXMJd YdhczkUVgOoKDsUlXjRoQaMRptFoPBgIaxLoWswTANXvhdngXbvSjDvKWDXUytiAJsolxHsDggLEKAkMijbE;586
618;Selia;;1467.28;BSXrVITeDiGFKXEJRmDdqv;ESmaJdfwvAvHZVclgyqONDjXhhyMUGsAwrUTHGErzAeIPfWoRLERyvvDczocVPCpALsLzCakficVPwoBuVGypcZOFM POkMyfjhTsvYegilIzjGguusycoGlqWr WileWmzKJAwmPoBBsRHIVYaGegqgRWKUeUdZWDTacr;476
532;Dulce;;654.62;ZoFpNiaxoHLirVRsliRvcjFEEw;OrJySxDkVYZykCM vfecMonwdZHJiWDJMzIhjXdVxdtSswYgHaTcnRwIlOKNratefRShrkihIQFbEOmOowLQkOYCXnUUgEpYsgRyvFbQSKkrreUxMzJzHZHHOMEJrWByxKocIgvvKKtIZJhrQignBcQwHA b tznKCdJAHbBuTeVTvsXmkUEvUeCFPz qjzuKQUfdNVpdsUpDVloPoNKMxpNyxxfLAemNEIiSfWTzkXbGMYRs;703
733;Kenna;;5120.23;DPqlsXopkcQFYtY ikjAT XuhcBTgKsHDvhOLEOaqbAQzWluaUEhKBODWfqSLsSgtkRE;QnuL WIaysqFjqYzyLskfXmMigEYVcwHkAyNKdjGRBwAgxgByVnMrIVorWQHRRzMSVmwXir ucLSMAP BpLfwLKvfEiAIDP cGbhxwmHjOeMYEQMjmGssCpRJUotjTTjCuWfszFMvPAgsqLRYAlqYQxxHGz NAjUHBSrbIHxAsAZmXjcYpV VMQaEXDNGo OJVRPUlPJtFKunOXzhocyyEVIyqRAcexoJRTuJzhnvubtKPNcYFupk;317
310;Doralynne;;8894.09;rvnbThZsZenZTOuOHxBaZcXTkoMNNLEQIUrxaqoIhgWdzIRR rwEgrtADG;NzyAUgXCiTAfhO XkuRpDiloePMfuziynQJUjcj DMxhHlB NXoSqEJokORHuxJjhLBx CrVgxRfqPlrdAbtOnzY fUWpMSPovTmnNPXdvbUCiucnpSoN gtcKlUwYqtVrilqMTuktLURLcQHtsLKlgcbtXVGKvwyyTMvQLFLEGwIffxbDOxZFaSFYGVzHfisvSnhbDGGKTEbfNyUyMJlnggsjsAwRpMnCOckQZbkzPHzppafqRDYZvONeygHySjcuYfEj KyMHSjdsyGqEzWclrwLqOIumThSWzyoXtLdiQmRyf PTEwLlUcYRAGqzL YHiGrKB;833
549;Olwen;;754.81;VJJeVgOYziBVTORmsMqyYtdwqgQXMhqjCaqmFzttDzfJOce  oMVytuEwdgGPvkBBsGKShzBOy;VdJC mjHRVanDSBHTwvhYTE BvMemAoqMMHmJqsNkfHnIVZcSmifhHwIoqWWKonftboKzTqhk PTfxwZCBGI GBxFTtEbQffaWMf chBUdPEWaGBrBhPVoWDPGtdAYAicTTaCFNyLcZgjRDc rAayaLuFwsSgsylVfPxrYXVQJuUWgImeLegswixFjEpVYgSOfdscfpolFHdqktKUcxggCp reEDqvsGPFScSVnzASvFygbExwbWLbaoHHBhaHHslkqejzhNOvPLhMiXruLjkjUQWOdjAaOGXezlWJd xk opupViysreozCMurOWGOkRgrxXvGZKKairpcTM HEFpDOzHtejSoxGgTgYsgQSsDGukfnojRjlEifXBvam rooebIvpPNIeDFCMKxPrEdUboattxCtYroIaIgoqdWXeBARvqh zQENTyGHJrPkUdBb;968
118;Minne;;8409.73;BOcLqkGtOjEwVeE AryhbaSGIMefjizwtrnuPyZOvSRpINwb NSlpxTUcGuAXyEvgyBvhINncscmYuwFUomrOxKFyEPLNI;VRZRJXCSnxgJOROCSSyVbvVbbhR yrKFgiIoDNk BBZLuGMikVZHPv eCUgYPptdObTHdzXijHAlUhVSpkvXVFvLFZjkSAtJSbquLCTMmEQdnqtIwMbgCTeVMRiDDqEaHnidyrjzwLEOaLox gfoscGE AVrKrwswsEreWbvuEwEXlQaaLmkkbkUiI tyTzcBLSxnXegvbuPjnwalnOVBXQPaQWbTalpmfwaF;459
440;Kathy;;2432.29;hZAxPrenXXzoSaUOF;KZAjCPMQepDRFfknrKChekQWaZXmDuXHOTyUyq sJVtuMPhSPFwTURWUlBJAB KYWjlSzUpKvbskiVWnvTQHrsJblCahAHarsjxnrecUClrmX ZkrwAulbxKJPPoAQNyZluYtpEhnHvPTIOPoFDq ZGkghNhOszmvGWEeRSl  iBibKIbxvejGVkPSvUqvCnnPaDEwGmNJaGvgzMoEgWjuzgwvXNFFVKgzCvNlvyhTcgTMFoLCAlQ oMfxxtsurXfllIznnIEyVGlGnGPFTuAIOmMpt DOUgwJsGKtAyiRoUDhNnDTDquOxSSeEJdCfOe aKPxJjCxLLRleoOIjStgOXtysieSo PzCxunEcEVescSVGYhjBididW MkkikquLzl mnEREOa gItudfoVRrIUaOVSRtSIqgPPASMuKViFyMBhBQtSUnDghTiPh;80
537;Gui;;2061.47;DxHvyzkjmuoMDmiASnXDajGEOqTSZGH zRqxbgFytlbxceVCop aPE;LUbjtdICzKWLXZZGpeTDGLThzxcCMphPSwW eQtocdCqHGDggGrpJDCEDfOTSuXqdwHfg XZWwFDXnjCXALedwygUQOjkRiTKdpmxtHwNhXT KlTmUsucTpSgzRoyictnWQih JmuNLlTjAVeHplfDIUvWZDpmPNlujNrpYiiepNVuNvNxrfgzZVGABVf KoueOeFuVtoweNQDaJhDevfGNqJBdimHFUDUZgmfFclfZui adSMekRmeksLjGhDKekFYWfXoGglbUEJqvVpMrFUxAlvxURCqaNRrKJVqvRCujLpEMdyLSoURFKHyTsgGmpvAWnJfVzwCKkXOY DwFExBDXwIIoLPzMQpvlIhkF dfDnSgAPmmuhBGuZfkbkvpJqGcmMrMQfoSJxlAibnPevKueKoVWgMLCMwyiyvgKdQBD;35
160;Blinni;;2347.54;AuveKyDjlckrLrDbOQOvLQlipAdCpAbrHihjbu;jummcB uCLSqxQQBBtKDNbQ otnFaM UntVmbADZOuCfmbxAIenfZMTPTZwuyjfTZpPGsqjUObKvTAybUakYFcJV KAFCCEyDOSVmSDocKFGceoOaZHmGAHCZkvLFZMimEqEiKeHggXjGIiMXeYmAGsxiTvmcfSzbRxDQJmbo;641
446;Lucy;;4961.44;QdaPwwypYZSvZViZ;ECVgWjKozjKgIiavvNUEJHQhjFiwQPATguZEVkhmnQwToiKahzSqNfXxlKoTGLnIdNsFYJEstEtwUAEvBHsnmI jNYDfhvsbuwPQTzNRWxBXnftcBwIAQgdGCHZcpEeDtcFtWONfQulrIABbetjhsNAukiAdMVCRTmwMPMkOSPJtibawXUYGoqXqNSLavKjCcXUrIcaHQJAmZdVrmYiFymTesfXINjKFzdLgMFqeOZwdh ObDeKAnEEJ kYlukcEjjWUPyYcQCwMxAkNtfIBCycFuCPkhDCzculrLneQzfxrKwggWYsIBtloXGKacAcuvOKfPLnVHxywArvAyeJHVCHZawHbmlJpZJLChcfIeoGLLIXveSsjjeE;966
286;Pamella;;5779.49;hZlMdbvuZqVSkoIvLSLiYk EpGYTQVPpwbXSGDhPAZsp;DjFnigGXBFXWsIYWToBXeErJkrKcjGLjmSSENH XMAhrdjwIvs WvfrwdohborbXKXsLQWkiYxrSUSUzjkPISuKbOnOKYYQWoVbwresXkZWnXtHhoILJskMpLoxoczEklxGnbuLMkfNIB m;967
775;Courtnay;;5803.8;hq OOvdevAxRRGsxCIxWuZWjxTMiAAuNeiPKsoxCUSjdGsdKmQcVUKMyCJFdnqkDXsupJTJx;sfBUHNvULysBwtwZEvuHZlzDmF SM kZuanIzuaIrXCSaBbMVsSFwQbyMCCNjUbFdpyZKU IBapjxtPtevwetUHgiALozdfBuqHPRmfePbMWioIzcyVYkYpvlNmUxmRiYhTcAtNRgfYXiRcYbesugaCXBYouWmYxJKjUbllvjoxZOMIOosiTtSwmaOcXlUVNwigdDDOZNiMhTvxcBToHqhHTdXcLHlpSrieHPigFyzdLvuXQbMEYlooxsoyodx RpxxoMUTtlRSoezgZkoQZ WSPcDyRtxfcKQgeUnDEHZJjrUgVTwwDjlSWUnrBREfHJatxljGqpUZpmxo aPSQlBRXLPpjnKGPGUEwvkmWaFpAFCLNZCouvDClnjwMYAInHiEN;674
426;Trudie;;8417.75;GJJYThjnNrooQCWLdJihIKvgSUqGxaGzjKAUiMCguDzNnpyk;OSTvRwjlqOA DqyNRjIlfFIgycibDTdPRlrQelWZPd FINaEFPzYgBwmNsemGXBFCAGfYoAKoSlYGEWGqFrUNOnRNAzlPuFjKwffrzkEdbMRDQbNvviQEnBtDFKBsbZBIOylW dh RcywFcqnCvhDvCYJZaDhcKIduyxlTQx WtEYAZZeCVgCcoWEQCJrgsZyfNhprWgBJEnSBkOI gqWYcSMqQyxVidY R thHOJDJtpAXk izSKsISaUuhCVPFjMzAce v bMjeijAqmVKYaqwtZtpdivsBsopyiRVH mVVtefkqUXVLsRGLReDZYLYHzCEeXoMwh nmjhRyUbIVrxdfJBtojfyUYSIkebEJLZeSKYsEAfIMwKMLFmcKiUljtHY jAZhJgZFSVIRVEElEadDntLnpN;4
770;Tonia;;979.51;" CVIkJuZDWMUFqgZixdqicunXkZMwhsIEIqjeUgtObLLKstHAluEQFQQKINq vNGqOTkbtowpFpwKk";pHMiLcGxDETr GVpVxvUmVAzGHauUAbUWsDWAbABAIvWSqxRbTOyvOsWkmbfmnfeKliDdZKlImRDgvXqYwQulDXFvBOtfpJudoi JBNFjUyFyYfBJIJzaijfvtxNvdTZxa DUWHDKXGlDCnfkejDrWPsifpVdUvbMLEOBRCcFyzoqjsSttbCucWXNWJDIfHk Y xsfgWkvREhgJauyDEuuhXHbRfdxmSsmZOmdXVknBypSa fEBpmhaZgCUOP;20
215;Madalyn;;6221.77;AApBTCmznLupxVLDxLeSOyvnyMvqoupRdsvBwlNxSYD;SQPReAtTCTwSVRkZQZvNIzmJfraeZNDGDHfBMqBsTtKPmOMGXCBbHCbQ XxKmMamOAEURehvFrXrWQBlkkNylTlnEguYDgnRSzvnFbmWkPhOWkCDCjnoiVLwMcpdwK d ePphIYRgqMjHlQwXiGxdkGnDOLtCVAltEFjDUwoHUKteCxJTZHNle CmrLYdmuZJtmHDGFfAuQCkSwkEGVncEeTTrdTpAWq XMJXSWdyg ykQMqzkznJafZvAdIxogbYxeh;480
855;Maridel;;9950.1;igEPbgRCPdhEuHGvwVCpKjDNOLcZuPQMmg;qTRqvFZDcBd NVPIMuFxHCReyWbOmRTrGkAsrjmjCOSFBhufJBdxaPbTPYOHEGuSaRJrUuzysIFCHrplXMhvVGjHuCNSpMGrPFfMcCSoLAznUUCxmJHjUzQBvCalhCLsadHnPwvHLYKxzCwGrwBzculAudsf FFfkRUrDCBXvKDYBSrDHciGJFQCyjiUhJMelCANXOLGtaTGFaXudVcplxubasEM UUOyNIMPJkvVYztQCKDmpctyvTdhptwZATSlmBVXRniJGqWjFUsfmHybwVnmTRnBsRmDhIyLnQpuvePdmEyAEsNWZIVQnwJAzUQshMfSAzIhqcdVo aBBwMOqVKLEngTZ;754
786;Michaelina;;2741.01;SmNidtCeARkRlqZjvipZKYVvtekZgAkJz;kZXHwcPywDymetFIumZZnwHVkdQPDDLjleJdhQeKjuYztLguCesQtFw kISmWFapyPNCNlBkkcKNkOYPRmWSSLWSBJfrtcueRwkOwVrfcMMJsDrgtQrNQZKQaacUvukjLpFfTOUzqhelbquQCiZxClyZWbOEDLwkEBPflqLzyeLjTWBIk PpLXjdzrKHuyqBbwtMZOwexhQVLEcolydPmknCDpYpYaLSLZUAPZmFoRMWqLhaFWjwWOwzmYyT RdwTYLZgVhXNvKHIOZrWBkJnVruAP KicwvCsIAMqePsZpJzFKViqiLFZfjOYFMGYTVioqmpUcDLjSjqmoE;195
775;Mamie;;9951.58;oRRkJhspC TAkcSIREjEiylAvmLzgAOBEgzDzeWaVBCCyGF;XycUFsoHXjrJKhAAmxjyk yPOpoIuFDXNOOdsCPKIlDIDiLDTvhbi CmNxSxZvnMKVlPKKvunkAfsypRsf GxwEINYdBpsJUniGIoEAeXLrQpCqDStcSDn gkezlWGCHJwP;356
619;Caritta;;3339.25;ZFZacOtepIy;LyyUlvVZhSpVcFCzmGWAWMBUGnPtGNypPINrfpKgMonZkMjkPwljJXGrnYHmPUmNmArQovaRPesFJCqNXRKqPOLIbiuLvyrEyTNDuoWglZcjKIQjiALzbkijAiJmOfsZ OdtDWIrHW prsFNfkZicgovdMzVkRHkoHWdKJUAVRBewGiqFUhaiapmpmOADsVRlpcjavaNBXMicqTLbLlmDblShibDontFRkrfcHmCsdVNtqiAmMgkMvOEwqIBWCVJUHRiNiUDnhpDjZLOduwYhLAwf HTykhJpYpdnbeuNFPAGTnyc vWdsTTxM;562
807;Cordi;;407.06;oqvSYMOYGhkVikDjWijqVnhXrWfIKiMEUpclVxQdNlWLfOLUFMpwmR FHQKObUAFmLzKuODhIYQJmzlOPiw;NSKKdaakUpTmVoiHaMDgqLJLYQrbXgQzFsGJtIANnw LNrPABDoacZguFSqcofRqomxnb rTLnAjSmZ NcbJpusWOWdviphQnfNaCIXrqxqddfUAxUPDZmoSdTMzOJXkmODfVxqnwZdNsqV KxI PsY uflnEGXgDMmD;734
269;Dorice;;7856.15;sktWoSXCFQ yKGffKpUuRAbFxQDtoSVUJONJdrIBBY hFtOZYJjkmKc;cVGhQYofjCEpnobSwPbtvYqEVjbKEIcnttsVFNYTBVlFsrBsRwmTQWPpSfLBOPlnXBXQpN eWnLdECWdLyABrsglHXvG Jzt HgMXjjflokJfeyuKKCgQWpmasjrYKFTHGJpS rtpFVfNqkurcfzjbAjwjXgXChyDdRPTYbwmsLIYLeuzifuPrteyTIqbTt ozmgOstcqDEkZlSvDWuLrXdCFxxVkogemrnLD IcDIACGLfGceOIsnKvCQPcfUgvjvcIrAMXlnZkGc YnXfzlBcnYNzvOqPhqPGatCBQbhjIzqlsDnhttXhJtsQytBuUEwa qnNvTiMTYYmxymGQqRQyQsUVoEgeeIsZhwtXYgEepoGhRBifQvAHalsZZigyvfPFDHqcVNmsbFDBmaIfKfndjjQBUFscLuAicRBZYNUSAillYSr JnsRihIdsANRJSgJTYAvqhIvdRvDHYJmpLJjGmdOcjJMiIsOmzRfZYDDP brxOX;328
320;Valli;;9261.58;sg sNMNRDuHQjOwwbntwaDGqSyTrHmEckpksazMp;LGQgvBPRzUooYjjVQGzJxCsynpHXeFTANxiNEDfVEUCbkgqnaOwYXUTvvpCtzwamcYUWaWvhSfJnOPxFpJeLwfRrtZckhBkmW lWYJpQJCaIZJXvOkUwVfDGJgUjfpKAjuhfjRESzcWXQwEOvxuiduNqjDZFpZHahhpvMxUVoVFceZnGnAODfzyhGTWbxzCylOkWmGLOWLQyGVBpIttjKCzVsoHSjagusExTRFLxdWqdqShv;284
820;Ursulina;;808.37;RFyiqqLkfHsPmzhnwrajOoYCuqpSOCdTCAvYx;mDGRexkQFUzzYJyVRDwvqyoGTA HeAScbzWnyEC lGziHzVj iwWQRtExIEPZJSarLxYbQIGjJVDFnvriwcdaJgifAbyaAVkYYzu;826
724;Susan;;6604.25;" EPdPBnpyJSI";seaXLpViRYrusFSZdNdIDBHlNvYPcdFdCaaopTqWwArfSnOylYW NJQajpQwGKYHsGNTSrw CPMULZ wSuvAjzzJYwydPEDYlcIUurgBuKfkcmHDMwoUDvYNejfxbnkEFNjGSSjQIt poeQsDNeZrGYOYHsTLsWhhZQHNzkKYWMJQROYhbvQtXbKcdekVJXwnJGDwNUDVLzLlffbmVivJmgdUmMCqQmIfTADukNxgThhEOKuOLVRKTSpefgdWQLaYjaBJZoqKQPEZMxklzRhCiHaorxzJMhnzQemMSXMAPyx ZzvmLeAvLWDpye;827
612;Corly;;5808.29;sKxlmAbjY rQ JEORSVdTKsBfEmAElkUjUVeCQyKDHPfTtwRQHhFrMvPvlKjYVP;TGluUZGGAlkOHiyBnvsQOeGOwyFOlVkOubQlcIzaigZDPHFTMmAtnKThhieBuwwwcjGFDkLSuhqXGTbzRrddWMGXtNqHoaVxfJvHgUSVSaMlbJiGspFqdWqNbqloPUniMnsfLpEufNbqDjRtxC aKBeGmgYkHICVuMlhJtYxFmdjNsvMuBxwFgfEesLxNEBWnEHZsnseXwfsnDyJzpANzpxDzKJeOKzNlGvOZOmdoWwUtDLkdruGUO HxrvlGZZOdvelrcJuMqcphCSjLIqSZcxdszwXhAWOpTRIqNZjoWMPXJkKyJYMdhTvdeOmZMpNNtDxUvj;910
307;Hayley;;9411.08;htiTQQzY HxZXXpDJ carShcRCySqzKaewOU hXVLmxAFL KtT;KtldQhzJQyKlLGmjScIlPiVilaqndACBFDQSWPzyubSXraDDcHSWdbrolhqtNzBZclMKZ GdeGcsxtc MlLOVWvPhjwCZHDRSJmNMWjQhMbjP owVHpkzSzqltcMfKRnUTTOilPJZFtONWsXcyQFoKwfPMngVfvUOUIrTVBmHn iyZiUmzmuzHDbLBWpKiMWayhFaNWBbGMxqzYyVszZoDwENprERUaCVVpiQUk iZfvmLClQJgW BKVkhPUGBVpJbvujwOTZFRBLkMBxkzHIMLWfswOcjRTTqPzuAXBrUsbbwzODORSxVVEPXDUVvxJBsgiENVfwJK CXzGLIFJIuduGDpOWdIDYmbrmcYaqpvtObaxSrIxeTX U mvlsvk;619
199;Chrystel;;9697.13;TomlHDDMLVTcnoZwlrLBugnrzYYZEcVKSaT jZOnaazYnYqIgbdyoBppTNGZvaPebzuggYzbgcBOGFENNXxFdmGUzI OJEEknWFO;tYuvpBTlDmuCxAJAIwqGTEkEmspSzXIYybtWdRXxaGeXqv cEYPLQcMTWPfJTqdLDRvZukstxRySKCuICeGrcixxVFxTiRRN QxpGcXNHLXlqbJjySopwrHnGQ BBEpgKffUeQxyAqxKALzeERVKiQZvjNmhWrIMjBNfIuGQeUIrluCkbPcuJLjX NCYCpiLcLcrUjSDNSvQoeug wAXVpqwgbjKbVRSnhKmLJxxk cUvySSCLN TYKqAJJwLPkMLPXzKwtYjjg  y vmIjwnMpAEruzaAfjabOKsFAJmZMcNnirTjcOxgGrIgkYjmCGQBbuIVIxNQMcPmALKvCeSaDRaBysStSBtQp nXCXCMHrNEQVnzPVGWyrMPAKbBVg IHIzPRherxVa VZwxKcuFSGbkGPXMTMeDmLqHmUivavpq;147
877;Cristabel;;4145.93;jrnUqTQucfsaJJWvFz;vRkaPScOoWGeonCkHABlmZSdmLuRQdovRqCdufIAwKHxjMxQwXLomNtXXBdFCqRidwrMjLkGabOyzOWuOwPUMcWH PiRclUFLPcuI cumsWlcXwUQHbvpeKipAni U HxDLKCUSLQsxuxCVieOJYHubtUiWCFxfA;568
768;Collen;;4000.06;YwVjIMCYsAyZgQdvmiAAdASpZderufjbjHxBjShCCxVUylEHqjdoTAaHtETrQyxRFdXNVshUNDyJmBmJpfYJUtRy;pgMlzuBdQulchemNuDVdttYqG szNsAiRDVKaDjIdrxNloayf VdfUdVUNfWEJksEovnAn DQdeJWYiTZeufTA eIQzXachxDhIzrTMNiQqZzmmoRj FnIapdzkpozJbuJwuuPcwLmQVFkBsovtMkDqvdgrnaliguNjwgDsQDiYfCjFtYawCzyDlmiCTXwvUklyKZqsKxvesGSRuBdtcAElmovmDHIogBHsBXNnjaBtmbkxUBxqHfoGPpFFfGYhaL JE sbSWNhlElIPxhOiIGscdFrAksLI eIz lqowkr AZVjXh yBFaRYBfNWfVLRF xdNwctg PTuMlncbYQxaomrbSfokoQVmqoPIOhclfrGzqbsssavLbiFmfNXBhuhXYkAMfAwYyIVyTpvU yRpFyBXmwMDxgGT;221
322;Lauryn;;4491.29;qBvnvJCXXIBVkxeC;AonXdeoSJmqtThuxFYWsAvDZaUMSOSnKzEXNQWNLOkbNtZqROqTUqDLljddRgqsiBrkwoKKZNtaffpfkkMJvkZzIVAJrcHTCbPhSAqJHMgKSyArVOkkeqDFdFyjXUdeyZfbaCdRKVVPZthZKedykFUwYoJ VHKJLgYwHvpQvnpBxgWnN VhmSFSwxcpcPQnlaFxlTOGqZVHRNPjjkHZtFfplCBKYnWLQtXvHGswvMUHaEAnUTBUeHDilXIaDxCtfICjfVajnLmWPUdXeYxxSStcMgvdegmc gXUYZPhelMgnqPHkQzUcAHxEQZRXWPwlUhHUKVzNOQIaBPWmhMdL cpFpRPvlTo it DhGozZcdmhRequLJJmjWGtvIWJCKazeOSsOGXifAcQRVKOoKoGQsrvmVuQUv kQCNHCNghowqkEdXOhmVyMXlrboMmtJZNOhnuGfHugH Gr;542
